Tumor_Sample,Frame_Shift Deletion,Frame_Shift Insertion,In_Frame_Del,In_Frame_Ins,Frameshift_Mutations,Missense_Mutation,Nonsense_Mutation,Splice_Site,Total mutations,TMD/MB (Coding region 33.2),Intron,3'Flank,5'Flank,3'UTR,5'UTR,Silent,Splice_Region,Deletion,Insertion,SNPs,Total,TYPE
MB-REC-29,0,0,0,0,0,20,0,1,21,0.63253012,900,138,152,18,3,10,0,144,116,1808,2086,RECURRENT
MB-REC-16X ,72,650,17,278,1017,250,212,33,1512,45.54216867,94547,9238,9029,1450,153,67,136,9719,143242,40772,193733,PRIMARY
MB-REC-11X,1,1,0,0,2,49,5,2,58,1.746987952,2958,458,423,44,8,25,3,375,302,6509,7186,PRIMARY
MB-REC-14X,1,1,0,0,2,46,2,2,52,1.56626506,2757,352,397,40,5,19,7,268,255,6257,6780,PRIMARY
MB-REC-04X,2,4,0,0,6,33,2,3,44,1.325301205,2131,364,408,33,5,21,3,201,355,4532,5068,PRIMARY
MB-REC-05X,0,1,0,0,1,34,2,3,40,1.204819277,2212,266,299,42,2,11,2,138,131,4565,4834,PRIMARY
MB-REC-15X,0,3,0,0,3,27,6,0,36,1.084337349,1841,249,274,25,2,9,3,391,469,3649,4509,PRIMARY
MB-REC-09X,1,1,0,0,2,24,0,0,26,0.78313253,1416,193,180,21,6,11,1,226,1030,2267,3523,PRIMARY
MB-REC-02X,0,0,0,0,0,24,1,5,30,0.903614458,1489,206,230,21,3,7,2,101,65,3008,3174,PRIMARY
MB-REC-12X,0,0,0,0,0,13,1,0,14,0.421686747,844,159,139,17,1,9,3,135,137,1829,2101,PRIMARY
MB-REC-03X,0,0,0,0,0,13,0,0,13,0.391566265,905,146,129,14,3,3,2,149,109,1813,2071,PRIMARY
MB-REC-08X,0,0,0,0,0,13,2,2,17,0.512048193,793,171,180,17,2,10,0,114,93,1718,1925,PRIMARY
MB-REC-13X,1,0,1,1,3,12,0,0,15,0.451807229,785,114,108,12,5,3,5,114,72,1677,1864,PRIMARY
MB-REC-08X,0,0,1,0,1,9,0,1,11,0.331325301,576,107,137,10,3,5,1,93,108,1368,1569,PRIMARY
MB-REC-10X,0,0,0,0,0,7,0,0,7,0.210843373,386,77,80,5,3,3,2,83,85,796,964,PRIMARY
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
